,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
15955,356000,2003,diesel,1.9,4900.0
15961,500000,1996,gas,2.0,1800.0
15962,380000,2001,diesel,1.9,4900.0
15963,220000,2010,gasoline,1.4,10000.0
15966,211000,2007,diesel,2.0,7000.0
15970,322000,1988,gasoline,1.6,1200.0
15971,172714,2016,diesel,1.6,16550.0
15972,385000,1991,gasoline,1.8,1350.0
15975,299000,2008,diesel,2.0,6800.0
15982,555555,1994,diesel,1.9,2350.0
15984,385430,1998,gasoline,1.8,3800.0
15985,340000,2003,diesel,2.5,5200.0
15989,218000,2007,gasoline,2.0,6000.0
15995,190000,2008,diesel,2.0,7600.0
16000,1,1996,diesel,1.9,2800.0
16001,179800,2015,diesel,2.0,15600.0
16002,230000,2008,gasoline,2.0,6970.0
16003,375000,2006,diesel,2.0,6900.0
16005,235000,2004,diesel,1.9,5300.0
16006,308000,2002,diesel,1.9,5300.0
16010,430000,1997,diesel,1.9,2600.0
